date,country,state,county,fips,lat,long,locationId,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,unused1,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,unused2,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,metrics.testPositivityRatio,metrics.testPositivityRatioDetails,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,unused3,unused4,metrics.icuCapacityRatio,riskLevels.overall,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,riskLevels.caseDensity,cdcTransmissionLevel,actuals.vaccinationsAdditionalDose,metrics.vaccinationsAdditionalDoseRatio,metrics.weeklyNewCasesPer100k,hsa,hsaPopulation,actuals.hsaHospitalBeds.capacity,actuals.hsaHospitalBeds.currentUsageTotal,actuals.hsaHospitalBeds.currentUsageCovid,actuals.hsaIcuBeds.capacity,actuals.hsaIcuBeds.currentUsageTotal,actuals.hsaIcuBeds.currentUsageCovid,metrics.bedsWithCovidPatientsRatio,hsaName,actuals.hospitalBeds.weeklyCovidAdmissions,actuals.hsaHospitalBeds.weeklyCovidAdmissions,metrics.weeklyCovidAdmissionsPer100k,communityLevels.cdcCommunityLevel,communityLevels.canCommunityLevel
2021-01-04,US,,,0,,,iso1:us,20852992,353596,23802785,238032255,67410,762134,544132,136521,,89931,69469,28265,,200721,15193375,0,0,0.151,,64.7,0.06,1.04,0.1,,,0.77,3,0.0,0.0,2049,4467008,3,3,,,453.2,,,,,,,,,0.179,,112333,,33.9,,2
2021-01-05,US,,,0,,,iso1:us,21087995,357285,24079125,239718203,67410,766454,567748,138587,,90393,71353,28527,,235003,17872675,0,0,0.149,,66.2,0.06,1.03,0.1,,,0.79,3,0.0,0.0,3689,4773893,3,3,,,463.4,,,,,,,,,0.181,,113831,,34.3,,2
2021-01-06,US,,,0,,,iso1:us,21343940,361249,24390958,241740675,67410,818813,614631,139776,,90780,72034,28607,,255945,18607175,0,0,0.148,,67.4,0.06,1.02,0.1,,,0.79,3,0.0,0.0,3964,5315688,3,3,,,471.6,,,,,,,,,0.171,,114723,,34.6,,2
2021-01-07,US,,,0,,,iso1:us,21624266,365362,24689089,243695996,67410,818729,614870,138640,,91688,72485,28491,,280326,18973350,0,0,0.144,,69.5,0.06,1.01,0.1,,,0.79,3,0.0,0.0,3988,5972220,3,3,,,486.5,,,,,,,,,0.169,,115042,,34.7,,2
2021-01-08,US,,,0,,,iso1:us,21925030,369256,24959523,245566947,67410,813149,607747,137169,,91133,71792,28365,,300764,19961500,0,0,0.14,,76.1,0.05,1.0,0.1,,,0.79,5,0.0,0.0,3926,6768563,5,3,,,532.8,,,,,,,,,0.169,,116016,,35.0,,2
2021-01-09,US,,,0,,,iso1:us,22176944,372515,25177055,247062093,67410,810950,593806,135800,,90873,71066,28187,,251914,19968100,0,0,0.137,,74.4,0.05,0.98,0.1,,,0.78,3,0.0,0.0,3259,7519218,3,3,,,520.8,,,,,,,,,0.167,,117659,,35.5,,2
2021-01-10,US,,,0,,,iso1:us,22385231,374292,25340111,248062857,67410,808529,581196,136081,,90907,69910,28370,,208287,19968100,0,0,0.135,,74.7,0.05,0.97,0.1,,,0.77,3,0.0,0.0,1777,8177818,3,3,,,522.8,,,,,,,,,0.168,,116246,,35.1,,2
2021-01-11,US,,,0,,,iso1:us,22611536,376340,25539710,249398135,67410,760963,551490,135981,,90571,70208,28739,,226305,22179450,0,0,0.133,,75.8,0.05,0.95,0.1,,,0.78,5,0.0,0.0,2048,8579828,5,3,,,530.5,,,,,,,,,0.179,,115311,,34.8,,2
2021-01-12,US,,,0,,,iso1:us,22841383,380745,25772906,251197738,67410,763482,568832,135676,,91315,71875,28891,,229847,24671575,0,0,0.129,,75.6,0.05,0.94,0.1,,,0.79,5,0.0,0.0,4179,9043269,5,3,,,528.9,,,,,,,,,0.178,,113848,,34.3,,2
2021-01-13,US,,,0,,,iso1:us,23070693,384675,26004824,253081776,67410,815739,613705,135963,,91448,72111,28727,,229310,25895025,0,0,0.125,,74.4,0.05,0.92,0.1,,,0.79,3,0.0,0.0,3930,9962098,3,3,,,520.9,,,,,,,,,0.167,,112591,,34.0,,2
2021-01-14,US,,,0,,,iso1:us,23310202,388655,26234559,254935970,67410,814975,612715,142310,,91856,72264,28527,,235848,27192375,0,0,0.121,,72.5,0.06,0.91,0.1,,,0.79,3,0.0,0.0,3980,10962876,3,3,,,507.5,,,,,,,,,0.175,,111765,,33.7,,2
2021-01-15,US,,,0,,,iso1:us,23550038,392403,26456503,256759255,67410,814531,610655,132896,,91635,72052,28421,,239836,27806625,0,0,0.118,,69.9,0.06,0.9,0.1,,,0.79,3,0.0,0.0,3748,11804594,3,3,,,489.1,,,,,,,,,0.163,,111013,,33.5,,2
2021-01-16,US,,,0,,,iso1:us,23752224,395743,26633785,258176489,67410,811919,594140,130142,,91466,71153,28119,,202186,27810525,0,0,0.116,,67.7,0.06,0.89,0.1,,,0.78,3,0.0,0.0,3353,12831057,3,3,,,474.1,,,,,,,,,0.16,,109843,,33.1,,2
2021-01-17,US,,,0,,,iso1:us,23922221,397472,26766156,259120383,67410,807534,581251,129556,,91171,69806,27890,,169997,27810525,0,0,0.114,,66.1,0.06,0.88,0.1,,,0.77,3,0.0,0.0,1729,13631935,3,3,,,462.6,,,,,,,,,0.16,,108758,,32.8,,2
2021-01-18,US,,,0,,,iso1:us,24063353,398912,26913097,260267097,67410,758820,547032,128650,,91058,69806,27830,,141395,28239375,0,0,0.112,,62.4,0.07,0.88,0.1,,,0.77,3,0.0,0.0,1441,14124003,3,3,,,436.9,,,,,,,,,0.17,,107606,,32.5,,2
2021-01-19,US,,,0,,,iso1:us,24250244,401683,27096287,261895376,67410,763202,565623,127892,,91119,71087,27583,,186891,32685500,0,0,0.11,,60.6,0.07,0.87,0.1,,,0.78,3,0.0,0.0,2771,14696885,3,3,,,424.0,,,,,,,,,0.168,,105521,,31.8,,2
2021-01-20,US,,,0,,,iso1:us,24435710,406063,27298329,263832796,67410,814764,611517,126460,,91400,71637,26998,,185466,32515175,0,0,0.107,,58.7,0.07,0.87,0.1,,,0.78,3,0.0,0.0,4382,15064422,3,3,,,410.8,,,,,,,,,0.155,,103148,,31.1,,2
2021-01-21,US,,,0,,,iso1:us,24626179,410198,27491360,265701509,67410,813744,610983,123030,,91251,71457,26516,,190469,34263450,0,0,0.105,,56.7,0.07,0.86,0.1,,,0.78,3,0.0,0.0,4144,15899383,3,3,,,397.1,,,,,,,,,0.151,,100798,,30.4,,2
2021-01-22,US,,,0,,,iso1:us,24817709,413929,27668664,267456606,67410,812953,609335,120892,,91368,71581,26005,,191530,36014550,0,0,0.102,,54.6,0.07,0.86,0.1,,,0.78,3,0.0,0.0,3731,17318004,3,3,,,382.5,,,,,,,,,0.149,,98760,,29.8,,2
2021-01-23,US,,,0,,,iso1:us,24985606,417251,27819417,268855318,67410,809372,592167,116820,,91041,70270,25363,,167897,37408775,0,0,0.1,,53.2,0.08,0.86,0.1,,,0.77,3,0.0,0.0,3286,18602115,3,3,,,372.2,,,,,,,,,0.144,,96473,,29.1,,2
2021-01-24,US,,,0,,,iso1:us,25115282,419066,27931477,269750018,67410,807059,579923,115804,,90544,68443,25120,,129676,37408775,0,0,0.099,,51.4,0.08,0.86,0.1,,,0.76,3,0.0,0.0,1816,19769023,3,3,,,360.0,,,,,,,,,0.143,,94444,,28.5,,2
2021-01-25,US,,,0,,,iso1:us,25271842,420972,28058967,270862136,67410,758690,546948,113938,,90630,68574,25001,,156560,37408775,0,0,0.098,,52.1,0.08,0.85,0.1,,,0.76,3,0.0,0.0,1906,20554311,3,3,,,364.6,,,,,,,,,0.15,,92170,,27.8,,2
2021-01-26,US,,,0,,,iso1:us,25422445,425070,28212711,272495900,67410,762428,566364,112890,,91095,70512,24896,,150603,40209425,0,0,0.095,,50.5,0.08,0.85,0.1,,,0.77,3,0.0,0.0,4039,21313761,3,3,,,353.6,,,,,,,,,0.148,,90886,,27.4,,2
2021-01-27,US,,,0,,,iso1:us,25578213,429172,28380511,274398528,67410,814895,611669,111301,,91111,70748,24352,,155768,42711150,0,0,0.093,,49.2,0.08,0.85,0.1,,,0.78,3,0.0,0.0,4102,22320472,3,3,,,344.7,,,,,,,,,0.137,,89321,,26.9,,2
2021-01-28,US,,,0,,,iso1:us,25744373,433040,28535218,276158149,67410,812657,607770,108092,,91026,70178,23786,,166160,43707450,0,0,0.091,,48.2,0.08,0.85,0.1,,,0.77,3,0.0,0.0,3868,23624083,3,3,,,337.3,,,,,,,,,0.133,,87632,,26.4,,2
2021-01-29,US,,,0,,,iso1:us,25908967,436640,28685831,277860406,67410,811397,601435,104408,,91210,69827,23121,,164594,44498675,0,0,0.089,,47.0,0.09,0.84,0.1,,,0.77,3,0.0,0.0,3600,25206040,3,3,,,329.2,,,,,,,,,0.129,,84640,,25.5,,2
2021-01-30,US,,,0,,,iso1:us,26042760,439281,28808442,279183121,67410,808389,580923,100897,,90331,68151,22707,,133793,45170000,0,0,0.087,,45.6,0.09,0.84,0.1,,,0.75,3,0.0,0.0,2641,26744669,3,3,,,318.9,,,,,,,,,0.125,,82393,,24.9,,2
2021-01-31,US,,,0,,,iso1:us,26156799,441145,28898803,280047760,67410,803532,566326,99453,,89879,66974,22502,,114039,45170400,0,0,0.086,,44.9,0.09,0.84,0.1,,,0.75,3,0.0,0.0,1614,28129465,3,3,,,314.2,,,,,,,,,0.124,,80520,,24.3,,2
2021-02-01,US,,,0,,,iso1:us,26298364,443095,28988998,280994422,67410,755563,532170,97752,,89732,66506,22229,,,45173600,0,0,0.084,,,,0.83,0.1,,,0.74,3,0.0,0.0,1950,29154700,3,3,,,,,,,,,,,,0.129,,79086,,23.9,,2
2021-02-02,US,,,0,,,iso1:us,26413613,446706,29107870,282510254,67410,758814,554938,97065,,90042,68148,21765,,115249,47649925,0,0,0.082,,42.7,0.1,0.83,0.1,,,0.76,3,0.0,0.0,3613,29681725,3,3,,,299.0,,,,,,,,,0.128,,76501,,23.1,,2
2021-02-03,US,,,0,,,iso1:us,26533784,450549,29236079,284257298,67410,810497,599042,95852,,89950,68202,21401,,109478,50609700,0,0,0.08,,40.4,0.1,0.83,0.1,,,0.76,3,0.0,0.0,3789,30644999,3,3,,,282.7,,,,,,,,,0.118,,74571,,22.5,,2
2021-02-04,US,,,0,,,iso1:us,26659406,455666,29365781,286061232,67410,809864,598473,93081,,90169,68102,20870,,125622,51917650,0,0,0.077,,38.4,0.11,0.83,0.1,,,0.76,3,0.0,0.0,3572,31858249,3,3,,,268.5,,,,,,,,,0.115,,73008,,22.0,,2
2021-02-05,US,,,0,,,iso1:us,26788884,459236,29490676,287772730,67410,808171,594144,90483,,89931,67834,20352,,129478,52766450,0,0,0.075,,36.6,0.11,0.82,0.1,,,0.75,3,0.0,0.0,3514,33304341,3,3,,,256.1,,,,,,,,,0.112,,71946,,21.7,,2
2021-02-06,US,,,0,,,iso1:us,26893824,461898,29589177,289009780,67410,804974,578132,87217,,89420,66603,19861,,104940,53506450,0,0,0.074,,35.1,0.12,0.82,0.1,,,0.74,3,0.0,0.0,2662,35323120,3,3,,,245.9,,,,,,,,,0.108,,70717,,21.3,,2
2021-02-07,US,,,0,,,iso1:us,26981082,463199,29662314,289768069,67410,798978,561464,85834,,89130,64897,19375,,87258,53506450,0,0,0.073,,33.8,0.12,0.82,0.1,,,0.73,3,0.0,0.0,1301,37278386,3,3,,,236.5,,,,,,,,,0.107,,69308,,20.9,,2
2021-02-08,US,,,0,,,iso1:us,27074049,464781,29739279,290737361,67410,752255,527732,83641,,88933,64605,19326,,92967,53506450,0,0,0.072,,33.0,0.12,0.82,0.1,,,0.73,3,0.0,0.0,1582,38383258,3,3,,,230.8,,,,,,,,,0.111,,67658,,20.4,,2
2021-02-09,US,,,0,,,iso1:us,27170411,467951,29840360,292334526,67410,759824,553561,83383,,89541,66747,18927,,96367,56830700,0,0,0.069,,32.2,0.13,0.83,0.1,,,0.75,3,0.0,0.0,3170,39133128,3,3,,,225.1,,,,,,,,,0.11,,66093,,19.9,,2
2021-02-10,US,,,0,,,iso1:us,27265376,471205,29932549,293890435,67410,808980,598773,80981,,89617,67139,18312,,94965,59518300,0,0,0.067,,31.5,0.13,0.83,0.1,,,0.75,3,0.0,0.0,3254,40552191,3,3,,,220.7,,,,,,,,,0.1,,64192,,19.4,,2
2021-02-11,US,,,0,,,iso1:us,27370993,475082,30016247,295226672,67410,808075,596002,77826,,89379,66611,17713,,105617,61579050,0,0,0.066,,30.7,0.13,0.83,0.1,,,0.75,3,0.0,0.0,3156,42008572,3,3,,,214.7,,,,,,,,,0.096,,61890,,18.7,,2
2021-02-12,US,,,0,,,iso1:us,27470597,480545,30104167,296558221,67410,805896,588708,74905,,89398,66207,17333,,99604,62231375,0,0,0.065,,29.4,0.14,0.84,0.1,,,0.74,3,0.0,0.0,2904,43834584,3,3,,,205.7,,,,,,,,,0.093,,59678,,18.0,,2
2021-02-13,US,,,0,,,iso1:us,27555246,483917,30173685,297592484,67410,800704,567691,72252,,88814,64750,16865,,84649,62995025,30684956,0,0.064,,28.5,0.14,0.85,0.1,,,0.73,3,0.093,0.0,2169,45860530,3,3,,,199.5,,,,,,,,,0.09,,57416,,17.3,,1
2021-02-14,US,,,0,,,iso1:us,27619023,484998,30221653,298210632,67410,796306,552533,70432,,89133,62841,16350,,63777,63139550,31707622,0,0.062,,27.5,0.15,0.85,0.1,,,0.71,3,0.096,0.0,1081,47847159,3,3,,,192.4,,,,,,,,,0.088,,55811,,16.8,,1
2021-02-15,US,,,0,,,iso1:us,27674274,485992,30272470,298963162,67410,748134,515208,68661,,88130,62762,16227,,55251,63215700,32404859,0,0.061,,25.9,0.16,0.86,0.1,,,0.71,3,0.098,0.0,994,49078519,3,3,,,181.1,,,,,,,,,0.092,,54082,,16.3,,1
2021-02-16,US,,,0,,,iso1:us,27738812,487699,30337665,300152123,67410,751462,534452,68310,,88601,64152,15921,,64538,64702950,32899259,0,0.06,,24.5,0.17,0.87,0.1,,,0.72,2,0.099,0.0,1707,49985044,2,3,,,171.5,,,,,,,,,0.091,,51999,,15.7,,1
2021-02-17,US,,,0,,,iso1:us,27808968,490170,30409779,301554939,67410,804175,584260,69987,,89150,65227,15579,,69406,65418375,33419116,0,0.059,,23.4,0.17,0.88,0.1,,,0.73,2,0.101,0.0,2471,50948143,2,3,,,163.8,,,,,,,,,0.087,,50596,,15.3,,1
2021-02-18,US,,,0,,,iso1:us,27880744,492795,30478904,302902937,67410,804092,584167,65871,,88757,64729,15024,,71776,66252675,34091982,0,0.057,,21.9,0.19,0.88,0.1,,,0.73,2,0.103,0.0,2625,52239290,2,3,,,153.6,,,,,,,,,0.082,,49185,,14.8,,1
2021-02-19,US,,,0,,,iso1:us,27958729,495416,30544880,304195173,67410,804193,584054,63961,,88753,64594,14492,,77985,70697120,39939073,0,0.055,,21.0,0.19,0.89,0.1,,,0.73,2,0.12,0.0,2621,56579504,2,3,,,147.0,,,,,,,,,0.08,,47946,,14.5,,1
2021-02-20,US,,,0,,,iso1:us,28028448,497247,30603057,305196674,67410,801065,565818,61702,,88389,63126,14109,,69719,71497190,40739767,0,0.053,,20.4,0.2,0.9,0.1,,,0.71,2,0.123,0.0,1831,58201412,2,3,,,142.5,,,,,,,,,0.077,,47108,,14.2,,1
2021-02-21,US,,,0,,,iso1:us,28083624,498494,30650809,305833497,67410,798504,552768,60827,,88199,61660,13724,,55176,71722990,41522106,0,0.053,,20.0,0.2,0.91,0.1,,,0.7,2,0.125,0.0,1247,59910922,2,3,,,139.9,,,,,,,,,0.076,,46409,,14.0,,1
2021-02-22,US,,,0,,,iso1:us,28143079,499948,30709143,306819099,67410,752692,522334,60016,,88538,62083,13671,,59455,71723965,42004245,0,0.053,,20.2,0.2,0.91,0.1,,,0.7,2,0.127,0.0,1369,60936481,2,3,,,141.2,,,,,,,,,0.08,,46231,,13.9,,1
2021-02-23,US,,,0,,,iso1:us,28214982,502276,30783560,308392505,67410,757489,548350,59369,,88994,64548,13354,,71903,78310240,42398139,0,0.051,,20.5,0.2,0.92,0.1,,,0.73,2,0.128,0.0,2328,61763738,2,3,,,143.4,,,,,,,,,0.078,,45978,,13.9,,1
2021-02-24,US,,,0,,,iso1:us,28289140,505486,30858718,310013543,67410,808777,597764,58671,,89352,64983,12891,,74158,84616235,43058959,0,0.05,,20.7,0.2,0.92,0.1,,,0.73,2,0.13,0.0,,63124231,2,3,,,144.9,,,,,,,,,0.073,,45299,,13.7,,1
2021-02-25,US,,,0,,,iso1:us,28367008,507951,30929578,311557664,67410,806225,594732,56499,,88795,64443,12464,,77868,87540405,43714969,0,0.049,,21.0,0.19,0.92,0.1,,,0.73,2,0.132,0.0,2465,64860671,2,3,,,146.7,,,,,,,,,0.07,,44620,,13.5,,1
2021-02-26,US,,,0,,,iso1:us,28445321,510127,30994903,312976207,67410,805418,589236,54410,,88697,63905,12162,,78313,90043845,44762853,0,0.049,,21.0,0.19,0.93,0.1,,,0.72,2,0.135,0.0,2176,66938565,2,3,,,146.8,,,,,,,,,0.068,,43672,,13.2,,1
2021-02-27,US,,,0,,,iso1:us,28507984,511694,31046403,314000394,67410,802767,570140,52498,,88316,62385,11716,,62663,92045095,45932013,0,0.048,,20.7,0.2,0.93,0.1,,,0.71,2,0.139,0.0,1567,69166335,2,3,,,144.7,,,,,,,,,0.065,,42524,,12.8,,1
2021-02-28,US,,,0,,,iso1:us,28558888,512822,31084967,314600446,67410,798552,553532,51624,,88390,60696,11552,,47684,92045295,47169736,0,0.047,,20.3,0.2,0.93,0.1,,,0.69,2,0.142,0.0,1304,71449901,2,3,,,142.4,,,,,,,,,0.065,,41677,,12.6,,1
2021-03-01,US,,,0,,,iso1:us,28615583,514247,31133661,315550901,67410,743321,515061,49962,,87011,59750,11359,,55479,92045295,48076418,0,0.046,,20.2,0.2,0.93,0.1,,,0.69,2,0.145,0.0,1195,73041417,2,3,,,141.2,,,,,,,,,0.067,,40538,,12.2,,1
2021-03-02,US,,,0,,,iso1:us,28673222,515553,31196167,317105169,67410,747214,537241,49358,,87264,62009,11036,,57639,97856985,49078333,0,0.045,,19.6,0.21,0.93,0.1,,,0.71,2,0.148,0.0,1904,74741318,2,3,,,136.9,,,,,,,,,0.066,,39205,,11.8,,1
2021-03-03,US,,,0,,,iso1:us,28739782,517922,31260278,318785450,67410,799709,583426,49046,,87820,62363,10740,,63827,102195175,50119962,0,0.044,,19.1,0.21,0.94,0.1,,,0.71,2,0.151,0.0,1986,76562878,2,3,,,133.8,,,,,,,,,0.061,,38011,,11.5,,1
2021-03-04,US,,,0,,,iso1:us,28807053,519871,31320890,320283924,67410,806647,587903,47043,,88275,62822,10552,,67271,104993995,51246275,0,0.043,,18.7,0.22,0.94,0.1,,,0.71,2,0.155,0.0,1949,78504214,2,3,,,130.6,,,,,,,,,0.058,,37174,,11.2,,1
2021-03-05,US,,,0,,,iso1:us,28872738,522354,31378377,321663310,67410,805913,582170,46304,,88189,62612,10320,,65685,108938910,52720487,27234255,0.042,,18.1,0.22,0.94,0.1,,,0.71,2,0.159,0.082,1736,80888392,2,3,,,126.8,,,,,,,,,0.057,,36731,,11.1,,1
2021-03-06,US,,,0,,,iso1:us,28929321,523811,31427133,322682374,67410,801178,561162,44981,,87839,61119,10026,,56583,111043540,54451805,28292731,0.042,,17.8,0.23,0.94,0.1,,,0.7,2,0.164,0.085,1457,83670310,2,3,,,124.9,,,,,,,,,0.056,,36195,,10.9,,1
2021-03-07,US,,,0,,,iso1:us,28969385,524487,31462970,323258992,67410,798364,547450,44207,,87363,59246,9845,,40064,111043640,55896532,29228825,0.042,,17.5,0.23,0.95,0.1,,,0.68,2,0.169,0.088,677,86012513,2,3,,,122.6,,,,,,,,,0.055,,35563,,10.7,,1
2021-03-08,US,,,0,,,iso1:us,29063866,525307,31508673,324195424,67410,749738,514736,43760,,87418,59346,9787,,48218,111057680,56973657,29897841,0.042,,17.2,0.24,0.95,0.1,,,0.68,2,0.172,0.09,821,87672517,2,3,,,120.5,,,,,,,,,0.058,,35286,,10.6,,1
2021-03-09,US,,,0,,,iso1:us,29119764,527192,31566613,325682161,67410,752639,536246,43482,,87580,61358,9609,,54273,117741950,57955127,30446871,0.041,,17.1,0.24,0.95,0.1,,,0.7,2,0.175,0.092,1750,89122294,2,3,,,119.4,,,,,,,,,0.058,,34960,,10.5,,1
2021-03-10,US,,,0,,,iso1:us,29177944,528666,31626050,327241959,67410,805941,585837,43422,,87752,61839,9452,,58180,122098270,59241270,31207131,0.041,,16.8,0.24,0.96,0.1,,,0.7,2,0.179,0.094,1474,91043132,2,3,,,117.7,,,,,,,,,0.054,,34735,,10.5,,1
2021-03-11,US,,,0,,,iso1:us,29240323,530190,31684020,328690805,67410,805106,585836,42691,,87871,62041,9237,,61590,125147430,60784267,32114467,0.041,,16.6,0.25,0.97,0.1,,,0.71,2,0.183,0.097,1524,93413787,2,3,,,116.0,,,,,,,,,0.053,,34267,,10.3,,1
2021-03-12,US,,,0,,,iso1:us,29304474,531895,31743061,330034472,67410,803731,582086,42261,,87725,61550,9117,,64151,127318705,62577624,33173230,0.042,,16.5,0.25,0.97,0.1,,,0.7,2,0.189,0.1,1559,96176003,2,3,,,115.6,,,,,,,,,0.053,,34180,,10.3,,1
2021-03-13,US,,,0,,,iso1:us,29354030,533769,31792328,331011422,67410,800761,561102,41456,,87320,60007,8904,,49556,129668155,65295038,34993669,0.042,,16.2,0.25,0.98,0.1,,,0.69,2,0.197,0.106,,100474069,2,3,,,113.4,,,,,,,,,0.052,,33854,,10.2,,1
2021-03-14,US,,,0,,,iso1:us,29392019,534338,31827443,331557571,67410,796012,542258,40696,,87450,57696,8771,,37989,129669325,66164430,35497994,0.042,,16.1,0.25,0.99,0.1,,,0.66,2,0.2,0.107,572,101777138,2,3,,,112.8,,,,,,,,,0.051,,33642,,10.1,,1
2021-03-15,US,,,0,,,iso1:us,29449178,535090,31874301,332465244,67410,747125,508191,40688,,87007,58329,8783,,52603,129669325,67375539,36312095,0.042,,16.3,0.25,1.0,0.1,,,0.67,2,0.203,0.11,753,103689274,2,3,,,114.1,,,,,,,,,0.054,,33528,,10.1,,1
2021-03-16,US,,,0,,,iso1:us,29503709,536334,31933037,333909375,67410,751061,533361,41107,,87063,60425,8732,,54117,136604975,68377271,36970352,0.043,,16.3,0.25,1.0,0.1,,,0.69,2,0.206,0.112,1244,105233903,2,3,,,114.1,,,,,,,,,0.055,,33408,,10.1,,1
2021-03-17,US,,,0,,,iso1:us,29562637,537511,31995504,335470365,67410,803122,583533,41190,,87165,61078,8678,,58928,140959855,69836563,37870308,0.043,,16.3,0.25,1.01,0.1,,,0.7,2,0.211,0.114,1177,107430660,2,3,,,114.3,,,,,,,,,0.051,,33168,,10.0,,1
2021-03-18,US,,,0,,,iso1:us,29623103,539069,32056902,336888690,67410,803576,582716,40612,,87113,61047,8516,,60466,144318685,71559574,38812443,0.044,,16.3,0.25,1.02,0.1,,,0.7,2,0.216,0.117,1231,109989025,2,3,,,114.0,,,,,,,,,0.051,,33154,,10.0,,1
2021-03-19,US,,,0,,,iso1:us,29683726,540583,32115409,338176384,67410,802246,577995,40380,,87251,60861,8418,,60623,147320745,73196775,39716219,0.044,,16.1,0.25,1.03,0.1,,,0.7,2,0.221,0.12,,112439937,2,3,,,112.9,,,,,,,,,0.05,,32830,,9.9,,0
2021-03-20,US,,,0,,,iso1:us,29738151,541355,32164380,339113855,67410,799339,558198,39229,,86944,59586,8237,,54425,149661915,75227496,40777368,0.044,,16.3,0.25,1.03,0.1,,,0.69,2,0.227,0.123,772,115431210,2,3,,,114.4,,,,,,,,,0.049,,32980,,9.9,,0
2021-03-21,US,,,0,,,iso1:us,29772344,541803,32203358,339683173,67410,796095,542912,39145,,86551,57624,8123,,34193,149661915,77170017,41830191,0.044,,16.2,0.25,1.04,0.1,,,0.67,2,0.233,0.126,448,118326408,2,3,,,113.2,,,,,,,,,0.049,,32999,,10.0,,1
2021-03-22,US,,,0,,,iso1:us,29827056,542451,32253102,340604526,67410,746539,510284,39583,,86447,57740,8343,,54712,149661915,78464990,42561481,0.044,,16.3,0.25,1.04,0.1,,,0.67,2,0.237,0.128,662,120270202,2,3,,,113.9,,,,,,,,,0.053,,33051,,10.0,,1
2021-03-23,US,,,0,,,iso1:us,29883800,543344,32318962,342071808,67410,750646,535015,40185,,86783,60329,8375,,56744,157110875,79586021,43165613,0.045,,16.4,0.25,1.05,0.1,,,0.7,2,0.24,0.13,893,121926447,2,3,,,114.7,,,,,,,,,0.054,,33334,,10.1,,1
2021-03-24,US,,,0,,,iso1:us,29963591,544934,32389828,343663814,67410,804108,584830,40716,,87441,61096,8484,,,161726945,81047551,43959414,0.046,,,,1.05,0.1,,,0.7,2,0.244,0.133,1493,124075444,2,3,,,,,,,,,,,,0.051,,33605,,10.1,,1
2021-03-25,US,,,0,,,iso1:us,30032701,546204,32458313,345046953,67410,804488,584010,40522,,87238,60914,8333,,,165876295,82839565,44966176,0.047,,,,1.06,0.1,,,0.7,2,0.25,0.136,1270,126791237,2,3,,,,,,,,,,,,0.05,,33950,,10.2,,1
2021-03-26,US,,,0,,,iso1:us,30107187,547463,32528866,346356237,67410,802984,580960,40714,,87117,60903,8325,,74486,169665005,84948440,46165970,0.048,,16.6,0.25,1.06,0.1,,,0.7,2,0.256,0.139,1259,130006817,2,3,,,116.0,,,,,,,,,0.051,,34228,,10.3,,1
2021-03-27,US,,,0,,,iso1:us,30167873,548243,32588104,347295406,67410,799994,561291,39919,,87021,59587,8199,,60686,172552035,87001802,47545751,0.049,,16.9,0.24,1.06,0.1,,,0.68,2,0.262,0.143,780,133355421,2,3,,,118.6,,,,,,,,,0.05,,34415,,10.4,,1
2021-03-28,US,,,0,,,iso1:us,30212379,548733,32633259,347874649,67410,796019,545361,40323,,86681,57675,8355,,44506,172553205,88850904,48925124,0.05,,17.6,0.23,1.06,0.1,,,0.67,2,0.268,0.148,490,136506028,2,3,,,123.0,,,,,,,,,0.051,,34983,,10.6,,1
2021-03-29,US,,,0,,,iso1:us,30283114,549418,32690880,348828401,67410,747003,513219,40797,,86238,57954,8435,,70749,172553205,90178352,49898269,0.051,,18.5,0.22,1.06,0.1,,,0.67,2,0.272,0.151,710,138763617,2,3,,,129.7,,,,,,,,,0.055,,35247,,10.6,,1
2021-03-30,US,,,0,,,iso1:us,30345347,550365,32766172,350286680,67410,750692,535357,41311,,86656,60318,8568,,62233,181173675,91179829,50689165,0.052,,18.9,0.22,1.05,0.1,,,0.7,2,0.275,0.153,947,140512076,2,3,,,132.0,,,,,,,,,0.055,,35406,,10.7,,1
2021-03-31,US,,,0,,,iso1:us,30413281,551500,32841775,351793893,67410,804407,583905,41719,,87189,61031,8498,,67934,186958885,92655903,51806437,0.053,,19.1,0.21,1.05,0.1,,,0.7,2,0.28,0.156,1099,143050264,2,3,,,133.9,,,,,,,,,0.052,,35473,,10.7,,1
2021-04-01,US,,,0,,,iso1:us,30490471,552457,32914433,353161519,67410,801591,579979,41546,,87240,60695,8466,,77190,191585665,94471567,53216079,0.053,,19.7,0.21,1.05,0.1,,,0.7,2,0.285,0.161,958,146194202,2,3,,,138.1,,,,,,,,,0.052,,35580,,10.7,,1
